msg_id,sender,receiver,size_B,time_send_ms,time_receive_ms,delay_ms
node1_planning_data_0,node1,node0,100,300000,300055,55
node2_planning_data_0,node2,node0,100,300000,300066,66
node4_planning_data_0,node4,node0,100,300000,300060,60
node0_fixed_power_0,node0,node1,8,897000,897055,55
node0_fixed_power_1,node0,node2,8,897000,897077,77
node0_fixed_power_2,node0,node4,8,897000,897066,66
node2_infeasible_power_1,node2,node0,100,897077,902606,5529
node0_power_deviation_request_3,node0,node1,8,902606,902780,174
node0_power_deviation_request_4,node0,node2,8,902606,902802,196
node0_power_deviation_request_5,node0,node3,8,902606,903801,1195
node0_power_deviation_request_6,node0,node4,8,902606,902791,185
