msg_id,sender,receiver,size_B,time_send_ms,time_receive_ms,delay_ms
node4_0,node4,node0,100,145,198,53
node4_1,node4,node1,100,145,204,59
node4_2,node4,node2,100,145,215,70
node4_3,node4,node3,100,145,226,81
node4_4,node4,node0,100,2025,2078,53
node4_5,node4,node1,100,2025,2084,59
node4_6,node4,node2,100,2025,2095,70
node4_7,node4,node3,100,2025,2106,81
node4_8,node4,node0,100,3468,3521,53
node4_9,node4,node1,100,3468,3527,59
node4_10,node4,node2,100,3468,3538,70
node4_11,node4,node3,100,3468,3549,81
node4_12,node4,node0,100,3762,3815,53
node4_13,node4,node1,100,3762,3821,59
node4_14,node4,node2,100,3762,3838,76
node4_15,node4,node3,100,3762,3843,81
node4_16,node4,node0,100,4446,4499,53
node4_17,node4,node1,100,4446,4505,59
node4_18,node4,node2,100,4446,4516,70
node4_19,node4,node3,100,4446,4527,81
node4_20,node4,node0,100,5043,5096,53
node4_21,node4,node1,100,5043,5102,59
node4_22,node4,node2,100,5043,5113,70
node4_23,node4,node3,100,5043,5124,81
node4_24,node4,node0,100,6098,6151,53
node4_25,node4,node1,100,6098,6157,59
node4_26,node4,node2,100,6098,6168,70
node4_27,node4,node3,100,6098,6179,81
node4_28,node4,node0,100,7652,7705,53
node4_29,node4,node1,100,7652,7711,59
node4_30,node4,node2,100,7652,7722,70
node4_31,node4,node3,100,7652,7733,81
node4_32,node4,node0,100,7751,7799,48
node4_33,node4,node1,100,7751,7810,59
node4_34,node4,node2,100,7751,7821,70
node4_35,node4,node3,100,7751,7865,114
node4_36,node4,node0,100,7780,7832,52
node4_37,node4,node1,100,7780,7843,63
node4_38,node4,node2,100,7780,7854,74
node4_39,node4,node3,100,7780,7879,99
node4_40,node4,node0,100,9586,9639,53
node4_41,node4,node1,100,9586,9645,59
node4_42,node4,node2,100,9586,9656,70
node4_43,node4,node3,100,9586,9667,81
node4_44,node4,node0,100,10153,10205,52
node4_45,node4,node1,100,10153,10211,58
node4_46,node4,node2,100,10153,10228,75
node4_47,node4,node3,100,10153,10233,80
node4_48,node4,node0,100,11590,11644,54
node4_49,node4,node1,100,11590,11655,65
node4_50,node4,node2,100,11590,11672,82
node4_51,node4,node3,100,11590,11677,87
node4_52,node4,node0,100,11592,11644,52
node4_53,node4,node1,100,11592,11655,63
node4_54,node4,node2,100,11592,11672,80
node4_55,node4,node3,100,11592,11677,85
node4_56,node4,node0,100,12181,12233,52
node4_57,node4,node1,100,12181,12239,58
node4_58,node4,node2,100,12181,12250,69
node4_59,node4,node3,100,12181,12261,80
node4_60,node4,node0,100,13460,13512,52
node4_61,node4,node1,100,13460,13518,58
node4_62,node4,node2,100,13460,13529,69
node4_63,node4,node3,100,13460,13540,80
node4_64,node4,node0,100,13720,13772,52
node4_65,node4,node1,100,13720,13778,58
node4_66,node4,node2,100,13720,13789,69
node4_67,node4,node3,100,13720,13800,80
node4_68,node4,node0,100,16625,16677,52
node4_69,node4,node1,100,16625,16683,58
node4_70,node4,node2,100,16625,16694,69
node4_71,node4,node3,100,16625,16705,80
node4_72,node4,node0,100,18942,18990,48
node4_73,node4,node1,100,18942,19001,59
node4_74,node4,node2,100,18942,19012,70
node4_75,node4,node3,100,18942,19078,136
node4_76,node4,node0,100,18973,19023,50
node4_77,node4,node1,100,18973,19034,61
node4_78,node4,node2,100,18973,19067,94
node4_79,node4,node3,100,18973,19113,140
node4_80,node4,node0,100,18999,19050,51
node4_81,node4,node1,100,18999,19056,57
node4_82,node4,node2,100,18999,19101,102
node4_83,node4,node3,100,18999,19130,131
node4_84,node4,node0,100,19778,19831,53
node4_85,node4,node1,100,19778,19837,59
node4_86,node4,node2,100,19778,19848,70
node4_87,node4,node3,100,19778,19859,81
node4_88,node4,node0,100,22578,22630,52
node4_89,node4,node1,100,22578,22636,58
node4_90,node4,node2,100,22578,22653,75
node4_91,node4,node3,100,22578,22658,80
node4_92,node4,node0,100,23058,23110,52
node4_93,node4,node1,100,23058,23116,58
node4_94,node4,node2,100,23058,23127,69
node4_95,node4,node3,100,23058,23138,80
node4_96,node4,node0,100,23302,23354,52
node4_97,node4,node1,100,23302,23360,58
node4_98,node4,node2,100,23302,23371,69
node4_99,node4,node3,100,23302,23382,80
node4_100,node4,node0,100,23850,23897,47
node4_101,node4,node1,100,23850,23908,58
node4_102,node4,node2,100,23850,23919,69
node4_103,node4,node3,100,23850,23963,113
node4_104,node4,node0,100,23880,23930,50
node4_105,node4,node1,100,23880,23941,61
node4_106,node4,node2,100,23880,23958,78
