msg_id,sender,receiver,size_B,time_send_ms,time_receive_ms,delay_ms
node49_0,node49,node0,8,145,197.0,52.0
node49_1,node49,node1,8,145,208.0,63.0
node49_2,node49,node2,8,145,219.0,74.0
node49_3,node49,node3,8,145,236.0,91.0
node49_4,node49,node4,8,145,241.0,96.0
node49_5,node49,node5,8,145,285.0,140.0
node49_6,node49,node6,8,145,296.0,151.0
node49_7,node49,node7,8,145,307.0,162.0
node49_8,node49,node8,8,145,318.0,173.0
node49_9,node49,node9,8,145,329.0,184.0
node49_10,node49,node10,8,145,340.0,195.0
node49_11,node49,node11,8,145,384.0,239.0
node49_12,node49,node12,8,145,395.0,250.0
node49_13,node49,node13,8,145,406.0,261.0
node49_14,node49,node14,8,145,417.0,272.0
node49_15,node49,node15,8,145,428.0,283.0
node49_16,node49,node16,8,145,439.0,294.0
node49_17,node49,node17,8,145,483.0,338.0
node49_18,node49,node18,8,145,494.0,349.0
node49_19,node49,node19,8,145,505.0,360.0
node49_20,node49,node20,8,145,516.0,371.0
node49_21,node49,node21,8,145,527.0,382.0
node49_22,node49,node22,8,145,538.0,393.0
node49_23,node49,node23,8,145,549.0,404.0
node49_24,node49,node24,8,145,593.0,448.0
node49_25,node49,node25,8,145,604.0,459.0
node49_26,node49,node26,8,145,615.0,470.0
node49_27,node49,node27,8,145,626.0,481.0
node49_28,node49,node28,8,145,637.0,492.0
node49_29,node49,node29,8,145,648.0,503.0
node49_30,node49,node30,8,145,692.0,547.0
node49_31,node49,node31,8,145,703.0,558.0
node49_32,node49,node32,8,145,714.0,569.0
node49_33,node49,node33,8,145,725.0,580.0
node49_34,node49,node34,8,145,736.0,591.0
node49_35,node49,node35,8,145,747.0,602.0
node49_36,node49,node36,8,145,791.0,646.0
node49_37,node49,node37,8,145,802.0,657.0
node49_38,node49,node38,8,145,813.0,668.0
node49_39,node49,node39,8,145,824.0,679.0
node49_40,node49,node40,8,145,835.0,690.0
node49_41,node49,node41,8,145,873.0,728.0
node49_42,node49,node42,8,145,884.0,739.0
node49_43,node49,node43,8,145,895.0,750.0
node49_44,node49,node44,8,145,906.0,761.0
node49_45,node49,node45,8,145,917.0,772.0
node49_46,node49,node46,8,145,928.0,783.0
node49_47,node49,node47,8,145,967.0,822.0
node49_48,node49,node48,8,145,978.0,833.0
node49_49,node49,node0,8,2025,2077.0,52.0
node49_50,node49,node1,8,2025,2088.0,63.0
node49_51,node49,node2,8,2025,2099.0,74.0
node49_52,node49,node3,8,2025,2110.0,85.0
node49_53,node49,node4,8,2025,2121.0,96.0
node49_54,node49,node5,8,2025,2159.0,134.0
node49_55,node49,node6,8,2025,2170.0,145.0
node49_56,node49,node7,8,2025,2181.0,156.0
node49_57,node49,node8,8,2025,2192.0,167.0
node49_58,node49,node9,8,2025,2203.0,178.0
node49_59,node49,node10,8,2025,2214.0,189.0
node49_60,node49,node11,8,2025,2258.0,233.0
node49_61,node49,node12,8,2025,2269.0,244.0
node49_62,node49,node13,8,2025,2280.0,255.0
node49_63,node49,node14,8,2025,2291.0,266.0
node49_64,node49,node15,8,2025,2302.0,277.0
node49_65,node49,node16,8,2025,2313.0,288.0
node49_66,node49,node17,8,2025,2357.0,332.0
node49_67,node49,node18,8,2025,2368.0,343.0
node49_68,node49,node19,8,2025,2379.0,354.0
node49_69,node49,node20,8,2025,2390.0,365.0
node49_70,node49,node21,8,2025,2401.0,376.0
node49_71,node49,node22,8,2025,2412.0,387.0
node49_72,node49,node23,8,2025,2423.0,398.0
node49_73,node49,node24,8,2025,2467.0,442.0
node49_74,node49,node25,8,2025,2478.0,453.0
node49_75,node49,node26,8,2025,2489.0,464.0
node49_76,node49,node27,8,2025,2500.0,475.0
node49_77,node49,node28,8,2025,2511.0,486.0
node49_78,node49,node29,8,2025,2522.0,497.0
node49_79,node49,node30,8,2025,2566.0,541.0
node49_80,node49,node31,8,2025,2577.0,552.0
node49_81,node49,node32,8,2025,2588.0,563.0
node49_82,node49,node33,8,2025,2599.0,574.0
node49_83,node49,node34,8,2025,2610.0,585.0
node49_84,node49,node35,8,2025,2654.0,629.0
node49_85,node49,node36,8,2025,2665.0,640.0
node49_86,node49,node37,8,2025,2676.0,651.0
node49_87,node49,node38,8,2025,2687.0,662.0
node49_88,node49,node39,8,2025,2698.0,673.0
node49_89,node49,node40,8,2025,2709.0,684.0
node49_90,node49,node41,8,2025,2753.0,728.0
node49_91,node49,node42,8,2025,2764.0,739.0
node49_92,node49,node43,8,2025,2775.0,750.0
node49_93,node49,node44,8,2025,2786.0,761.0
node49_94,node49,node45,8,2025,2797.0,772.0
node49_95,node49,node46,8,2025,2836.0,811.0
node49_96,node49,node47,8,2025,2847.0,822.0
node49_97,node49,node48,8,2025,2858.0,833.0
node49_98,node49,node0,8,3468,3520.0,52.0
node49_99,node49,node1,8,3468,3531.0,63.0
node49_100,node49,node2,8,3468,3542.0,74.0
node49_101,node49,node3,8,3468,3553.0,85.0
node49_102,node49,node4,8,3468,3564.0,96.0
node49_103,node49,node5,8,3468,3608.0,140.0
node49_104,node49,node6,8,3468,3619.0,151.0
node49_105,node49,node7,8,3468,3630.0,162.0
node49_106,node49,node8,8,3468,3641.0,173.0
node49_107,node49,node9,8,3468,3652.0,184.0
node49_108,node49,node10,8,3468,3696.0,228.0
node49_109,node49,node11,8,3468,3707.0,239.0
node49_110,node49,node12,8,3468,3718.0,250.0
node49_111,node49,node13,8,3468,3729.0,261.0
node49_112,node49,node14,8,3468,3740.0,272.0
node49_113,node49,node15,8,3468,3751.0,283.0
node49_114,node49,node16,8,3468,4037.0,569.0
node49_115,node49,node17,8,3468,4048.0,580.0
node49_116,node49,node18,8,3468,4059.0,591.0
node49_117,node49,node19,8,3468,4070.0,602.0
node49_118,node49,node20,8,3468,4114.0,646.0
node49_119,node49,node21,8,3468,4163.0,695.0
node49_120,node49,node22,8,3468,4174.0,706.0
node49_121,node49,node23,8,3468,4185.0,717.0
node49_122,node49,node24,8,3468,4229.0,761.0
node49_123,node49,node25,8,3468,4251.0,783.0
node49_124,node49,node26,8,3468,4262.0,794.0
node49_125,node49,node27,8,3468,4279.0,811.0
node49_126,node49,node28,8,3468,4317.0,849.0
