msg_id,sender,receiver,size_B,time_send_ms,time_receive_ms,delay_ms
node0_0,node0,node1,8,1000,1000,0
node0_1,node0,node2,8,2000,2000,0
node0_2,node0,node3,8,3000,3000,0
node0_3,node0,node4,8,4000,4001,1
node0_4,node0,node5,8,5000,5001,1
node0_5,node0,node6,8,6000,6000,0
node0_6,node0,node7,8,7000,7000,0
node0_7,node0,node8,8,8000,8000,0
node0_8,node0,node9,8,9000,9000,0
node1_0,node1,node0,8,11000,11000,0
node1_1,node1,node2,8,12000,12000,0
node1_2,node1,node3,8,13000,13000,0
node1_3,node1,node4,8,14000,14001,1
node1_4,node1,node5,8,15000,15001,1
node1_5,node1,node6,8,16000,16000,0
node1_6,node1,node7,8,17000,17000,0
node1_7,node1,node8,8,18000,18000,0
node1_8,node1,node9,8,19000,19000,0
node2_0,node2,node0,8,21000,21000,0
node2_1,node2,node1,8,22000,22000,0
node2_2,node2,node3,8,23000,23000,0
node2_3,node2,node4,8,24000,24001,1
node2_4,node2,node5,8,25000,25001,1
node2_5,node2,node6,8,26000,26000,0
node2_6,node2,node7,8,27000,27000,0
node2_7,node2,node8,8,28000,28000,0
node2_8,node2,node9,8,29000,29000,0
node3_0,node3,node0,8,31000,31000,0
node3_1,node3,node1,8,32000,32000,0
node3_2,node3,node2,8,33000,33000,0
node3_3,node3,node4,8,34000,34001,1
node3_4,node3,node5,8,35000,35001,1
node3_5,node3,node6,8,36000,36000,0
node3_6,node3,node7,8,37000,37000,0
node3_7,node3,node8,8,38000,38000,0
node3_8,node3,node9,8,39000,39000,0
node4_0,node4,node0,8,41000,41001,1
node4_1,node4,node1,8,42000,42001,1
node4_2,node4,node2,8,43000,43001,1
node4_3,node4,node3,8,44000,44001,1
node4_4,node4,node5,8,45000,45000,0
node4_5,node4,node6,8,46000,46001,1
node4_6,node4,node7,8,47000,47001,1
node4_7,node4,node8,8,48000,48001,1
node4_8,node4,node9,8,49000,49001,1
node5_0,node5,node0,8,51000,51001,1
node5_1,node5,node1,8,52000,52001,1
node5_2,node5,node2,8,53000,53001,1
node5_3,node5,node3,8,54000,54001,1
node5_4,node5,node4,8,55000,55000,0
node5_5,node5,node6,8,56000,56001,1
node5_6,node5,node7,8,57000,57001,1
node5_7,node5,node8,8,58000,58001,1
