msg_id,sender,receiver,size_B,time_send_ms,time_receive_ms,delay_ms
node0_0,node0,node1,100,1000,1047,47
node0_1,node0,node2,100,2000,2053,53
node0_2,node0,node3,100,3000,3053,53
node0_3,node0,node4,100,4000,4047,47
node0_4,node0,node5,100,5000,5047,47
node0_5,node0,node6,100,6000,6047,47
node0_6,node0,node7,100,7000,7047,47
node0_7,node0,node8,100,8000,8047,47
node0_8,node0,node9,100,9000,9047,47
node1_0,node1,node0,100,11000,11047,47
node1_1,node1,node2,100,12000,12053,53
node1_2,node1,node3,100,13000,13054,54
node1_3,node1,node4,100,14000,14048,48
node1_4,node1,node5,100,15000,15048,48
node1_5,node1,node6,100,16000,16048,48
node1_6,node1,node7,100,17000,17048,48
node1_7,node1,node8,100,18000,18048,48
node1_8,node1,node9,100,19000,19048,48
node2_0,node2,node0,100,21000,21054,54
node2_1,node2,node1,100,22000,22053,53
node2_2,node2,node3,100,23000,23059,59
node2_3,node2,node4,100,24000,24055,55
node2_4,node2,node5,100,25000,25054,54
node2_5,node2,node6,100,26000,26054,54
node2_6,node2,node7,100,27000,27054,54
node2_7,node2,node8,100,28000,28054,54
node2_8,node2,node9,100,29000,29054,54
node3_0,node3,node0,100,31000,31054,54
node3_1,node3,node1,100,32000,32054,54
node3_2,node3,node2,100,33000,33060,60
node3_3,node3,node4,100,34000,34054,54
node3_4,node3,node5,100,35000,35055,55
node3_5,node3,node6,100,36000,36054,54
node3_6,node3,node7,100,37000,37054,54
node3_7,node3,node8,100,38000,38054,54
node3_8,node3,node9,100,39000,39054,54
node4_0,node4,node0,100,41000,41048,48
node4_1,node4,node1,100,42000,42048,48
node4_2,node4,node2,100,43000,43054,54
node4_3,node4,node3,100,44000,44054,54
node4_4,node4,node5,100,45000,45048,48
node4_5,node4,node6,100,46000,46048,48
node4_6,node4,node7,100,47000,47048,48
node4_7,node4,node8,100,48000,48048,48
node4_8,node4,node9,100,49000,49048,48
node5_0,node5,node0,100,51000,51048,48
node5_1,node5,node1,100,52000,52048,48
node5_2,node5,node2,100,53000,53054,54
node5_3,node5,node3,100,54000,54054,54
node5_4,node5,node4,100,55000,55048,48
node5_5,node5,node6,100,56000,56048,48
node5_6,node5,node7,100,57000,57048,48
node5_7,node5,node8,100,58000,58048,48
node5_8,node5,node9,100,59000,59048,48
